NAME,us,Year,Topic,Geo,Variable,Value,Display
United States,1,2019,Sex by Age (full),US,B01001_009MA,,B01001_009MA
United States,1,2020,Sex by Age (full),US,B01001_009MA,,B01001_009MA
United States,1,2021,Sex by Age (full),US,B01001_009MA,,B01001_009MA
United States,1,2022,Sex by Age (full),US,B01001_009MA,,B01001_009MA
United States,1,2023,Sex by Age (full),US,B01001_009MA,,B01001_009MA
United States,1,2018,Sex by Age (full),US,B01001_010E,6730753.0,B01001_010E
United States,1,2019,Sex by Age (full),US,B01001_010E,6639841.0,B01001_010E
United States,1,2020,Sex by Age (full),US,B01001_010E,6599470.0,B01001_010E
United States,1,2021,Sex by Age (full),US,B01001_010E,6491718.0,B01001_010E
United States,1,2022,Sex by Age (full),US,B01001_010E,6726381.0,B01001_010E
United States,1,2023,Sex by Age (full),US,B01001_010E,6516600.0,B01001_010E
United States,1,2018,Sex by Age (full),US,B01001_010EA,,B01001_010EA
United States,1,2019,Sex by Age (full),US,B01001_010EA,,B01001_010EA
United States,1,2020,Sex by Age (full),US,B01001_010EA,,B01001_010EA
United States,1,2021,Sex by Age (full),US,B01001_010EA,,B01001_010EA
United States,1,2022,Sex by Age (full),US,B01001_010EA,,B01001_010EA
United States,1,2023,Sex by Age (full),US,B01001_010EA,,B01001_010EA
United States,1,2018,Sex by Age (full),US,B01001_010M,15771.0,B01001_010M
United States,1,2019,Sex by Age (full),US,B01001_010M,18381.0,B01001_010M
United States,1,2020,Sex by Age (full),US,B01001_010M,17406.0,B01001_010M
United States,1,2021,Sex by Age (full),US,B01001_010M,16621.0,B01001_010M
United States,1,2022,Sex by Age (full),US,B01001_010M,18245.0,B01001_010M
United States,1,2023,Sex by Age (full),US,B01001_010M,16203.0,B01001_010M
United States,1,2018,Sex by Age (full),US,B01001_010MA,,B01001_010MA
United States,1,2019,Sex by Age (full),US,B01001_010MA,,B01001_010MA
United States,1,2020,Sex by Age (full),US,B01001_010MA,,B01001_010MA
United States,1,2021,Sex by Age (full),US,B01001_010MA,,B01001_010MA
United States,1,2022,Sex by Age (full),US,B01001_010MA,,B01001_010MA
United States,1,2023,Sex by Age (full),US,B01001_010MA,,B01001_010MA
United States,1,2018,Sex by Age (full),US,B01001_011E,11579090.0,B01001_011E
United States,1,2019,Sex by Age (full),US,B01001_011E,11737463.0,B01001_011E
United States,1,2020,Sex by Age (full),US,B01001_011E,11850355.0,B01001_011E
United States,1,2021,Sex by Age (full),US,B01001_011E,11591761.0,B01001_011E
United States,1,2022,Sex by Age (full),US,B01001_011E,11574776.0,B01001_011E
United States,1,2023,Sex by Age (full),US,B01001_011E,11387846.0,B01001_011E
United States,1,2018,Sex by Age (full),US,B01001_011EA,,B01001_011EA
United States,1,2019,Sex by Age (full),US,B01001_011EA,,B01001_011EA
United States,1,2020,Sex by Age (full),US,B01001_011EA,,B01001_011EA
United States,1,2021,Sex by Age (full),US,B01001_011EA,,B01001_011EA
United States,1,2022,Sex by Age (full),US,B01001_011EA,,B01001_011EA
United States,1,2023,Sex by Age (full),US,B01001_011EA,,B01001_011EA
United States,1,2018,Sex by Age (full),US,B01001_011M,4595.0,B01001_011M
United States,1,2019,Sex by Age (full),US,B01001_011M,4900.0,B01001_011M
United States,1,2020,Sex by Age (full),US,B01001_011M,4876.0,B01001_011M
United States,1,2021,Sex by Age (full),US,B01001_011M,5278.0,B01001_011M
United States,1,2022,Sex by Age (full),US,B01001_011M,5454.0,B01001_011M
United States,1,2023,Sex by Age (full),US,B01001_011M,5338.0,B01001_011M
United States,1,2018,Sex by Age (full),US,B01001_011MA,,B01001_011MA
United States,1,2019,Sex by Age (full),US,B01001_011MA,,B01001_011MA
United States,1,2020,Sex by Age (full),US,B01001_011MA,,B01001_011MA
United States,1,2021,Sex by Age (full),US,B01001_011MA,,B01001_011MA
United States,1,2022,Sex by Age (full),US,B01001_011MA,,B01001_011MA
United States,1,2023,Sex by Age (full),US,B01001_011MA,,B01001_011MA
United States,1,2018,Sex by Age (full),US,B01001_012E,10971402.0,B01001_012E
United States,1,2019,Sex by Age (full),US,B01001_012E,11073985.0,B01001_012E
United States,1,2020,Sex by Age (full),US,B01001_012E,11224653.0,B01001_012E
United States,1,2021,Sex by Age (full),US,B01001_012E,11365543.0,B01001_012E
United States,1,2022,Sex by Age (full),US,B01001_012E,11533188.0,B01001_012E
United States,1,2023,Sex by Age (full),US,B01001_012E,11647890.0,B01001_012E
United States,1,2018,Sex by Age (full),US,B01001_012EA,,B01001_012EA
United States,1,2019,Sex by Age (full),US,B01001_012EA,,B01001_012EA
United States,1,2020,Sex by Age (full),US,B01001_012EA,,B01001_012EA
United States,1,2021,Sex by Age (full),US,B01001_012EA,,B01001_012EA
United States,1,2022,Sex by Age (full),US,B01001_012EA,,B01001_012EA
United States,1,2023,Sex by Age (full),US,B01001_012EA,,B01001_012EA
United States,1,2018,Sex by Age (full),US,B01001_012M,3466.0,B01001_012M
United States,1,2019,Sex by Age (full),US,B01001_012M,4231.0,B01001_012M
United States,1,2020,Sex by Age (full),US,B01001_012M,5026.0,B01001_012M
United States,1,2021,Sex by Age (full),US,B01001_012M,5258.0,B01001_012M
United States,1,2022,Sex by Age (full),US,B01001_012M,4030.0,B01001_012M
United States,1,2023,Sex by Age (full),US,B01001_012M,5639.0,B01001_012M
