NAME,state,place,Year,Topic,Geo,Variable,Value,Display
"Long Beach city, California",06,43000,2022,Hispanic/Latino Origin (full),City,B01001_009E,,B01001_009E
"Long Beach city, California",06,43000,2023,Hispanic/Latino Origin (full),City,B01001_009E,,B01001_009E
"Long Beach city, California",06,43000,2018,Hispanic/Latino Origin (full),City,B01001_009EA,,B01001_009EA
"Long Beach city, California",06,43000,2019,Hispanic/Latino Origin (full),City,B01001_009EA,,B01001_009EA
"Long Beach city, California",06,43000,2020,Hispanic/Latino Origin (full),City,B01001_009EA,,B01001_009EA
"Long Beach city, California",06,43000,2021,Hispanic/Latino Origin (full),City,B01001_009EA,,B01001_009EA
"Long Beach city, California",06,43000,2022,Hispanic/Latino Origin (full),City,B01001_009EA,,B01001_009EA
"Long Beach city, California",06,43000,2023,Hispanic/Latino Origin (full),City,B01001_009EA,,B01001_009EA
"Long Beach city, California",06,43000,2018,Hispanic/Latino Origin (full),City,B01001_009M,,B01001_009M
"Long Beach city, California",06,43000,2019,Hispanic/Latino Origin (full),City,B01001_009M,,B01001_009M
"Long Beach city, California",06,43000,2020,Hispanic/Latino Origin (full),City,B01001_009M,,B01001_009M
"Long Beach city, California",06,43000,2021,Hispanic/Latino Origin (full),City,B01001_009M,,B01001_009M
"Long Beach city, California",06,43000,2022,Hispanic/Latino Origin (full),City,B01001_009M,,B01001_009M
"Long Beach city, California",06,43000,2023,Hispanic/Latino Origin (full),City,B01001_009M,,B01001_009M
"Long Beach city, California",06,43000,2018,Hispanic/Latino Origin (full),City,B01001_009MA,,B01001_009MA
"Long Beach city, California",06,43000,2019,Hispanic/Latino Origin (full),City,B01001_009MA,,B01001_009MA
"Long Beach city, California",06,43000,2020,Hispanic/Latino Origin (full),City,B01001_009MA,,B01001_009MA
"Long Beach city, California",06,43000,2021,Hispanic/Latino Origin (full),City,B01001_009MA,,B01001_009MA
"Long Beach city, California",06,43000,2022,Hispanic/Latino Origin (full),City,B01001_009MA,,B01001_009MA
"Long Beach city, California",06,43000,2023,Hispanic/Latino Origin (full),City,B01001_009MA,,B01001_009MA
"Long Beach city, California",06,43000,2018,Hispanic/Latino Origin (full),City,B01001_010E,,B01001_010E
"Long Beach city, California",06,43000,2019,Hispanic/Latino Origin (full),City,B01001_010E,,B01001_010E
"Long Beach city, California",06,43000,2020,Hispanic/Latino Origin (full),City,B01001_010E,,B01001_010E
"Long Beach city, California",06,43000,2021,Hispanic/Latino Origin (full),City,B01001_010E,,B01001_010E
"Long Beach city, California",06,43000,2022,Hispanic/Latino Origin (full),City,B01001_010E,,B01001_010E
"Long Beach city, California",06,43000,2023,Hispanic/Latino Origin (full),City,B01001_010E,,B01001_010E
"Long Beach city, California",06,43000,2018,Hispanic/Latino Origin (full),City,B01001_010EA,,B01001_010EA
"Long Beach city, California",06,43000,2019,Hispanic/Latino Origin (full),City,B01001_010EA,,B01001_010EA
"Long Beach city, California",06,43000,2020,Hispanic/Latino Origin (full),City,B01001_010EA,,B01001_010EA
"Long Beach city, California",06,43000,2021,Hispanic/Latino Origin (full),City,B01001_010EA,,B01001_010EA
"Long Beach city, California",06,43000,2022,Hispanic/Latino Origin (full),City,B01001_010EA,,B01001_010EA
"Long Beach city, California",06,43000,2023,Hispanic/Latino Origin (full),City,B01001_010EA,,B01001_010EA
"Long Beach city, California",06,43000,2018,Hispanic/Latino Origin (full),City,B01001_010M,,B01001_010M
"Long Beach city, California",06,43000,2019,Hispanic/Latino Origin (full),City,B01001_010M,,B01001_010M
"Long Beach city, California",06,43000,2020,Hispanic/Latino Origin (full),City,B01001_010M,,B01001_010M
"Long Beach city, California",06,43000,2021,Hispanic/Latino Origin (full),City,B01001_010M,,B01001_010M
"Long Beach city, California",06,43000,2022,Hispanic/Latino Origin (full),City,B01001_010M,,B01001_010M
"Long Beach city, California",06,43000,2023,Hispanic/Latino Origin (full),City,B01001_010M,,B01001_010M
"Long Beach city, California",06,43000,2018,Hispanic/Latino Origin (full),City,B01001_010MA,,B01001_010MA
"Long Beach city, California",06,43000,2019,Hispanic/Latino Origin (full),City,B01001_010MA,,B01001_010MA
"Long Beach city, California",06,43000,2020,Hispanic/Latino Origin (full),City,B01001_010MA,,B01001_010MA
"Long Beach city, California",06,43000,2021,Hispanic/Latino Origin (full),City,B01001_010MA,,B01001_010MA
"Long Beach city, California",06,43000,2022,Hispanic/Latino Origin (full),City,B01001_010MA,,B01001_010MA
"Long Beach city, California",06,43000,2023,Hispanic/Latino Origin (full),City,B01001_010MA,,B01001_010MA
"Long Beach city, California",06,43000,2018,Hispanic/Latino Origin (full),City,B01001_011E,,B01001_011E
